francais,yo,pluriel,vu_dans
Légal,Òfin,,resources/views/components/footer.blade.php:21
"Marquer les présents manuellement","Kọ àwọn tó wà níbẹ̀ sílẹ̀ pẹ̀lú ọwọ́",,resources/views/dashboard.blade.php:37
"Meilleur jour","Ọjọ́ tó dára jù",,resources/views/analyses.blade.php:156
Membre,"Ọmọ ẹgbẹ́",,resources/views/membres/index.blade.php:108
"Membre modifié.","A ti ṣàtúnṣe ọmọ ẹgbẹ́.",,app/Http/Controllers/PresenceController.php:249
"Membre supprimé.","A ti pa ọmọ ẹgbẹ́ rẹ́.",,app/Http/Controllers/PresenceController.php:267
Membres,"Àwọn ọmọ ẹgbẹ́",,resources/views/layouts/navigation.blade.php:47
"Membres n'ayant pas pointé","Àwọn ọmọ ẹgbẹ́ tí kò tíì forúkọ sílẹ̀",,resources/views/alerts/index.blade.php:42
"Merci pour votre inscription. Avant de commencer, vérifiez votre adresse email en cliquant sur le lien que nous venons de vous envoyer. Si vous ne l'avez pas reçu, nous vous en renverrons un.","A dúpẹ́ fún ìforúkọsílẹ̀ rẹ. Ṣáájú kí o tó bẹ̀rẹ̀, jẹ́rìí àdírẹ́sì ímeèlì rẹ nípa títẹ ọ̀nà tí a ṣẹ̀ṣẹ̀ fi ránṣẹ́ sí ọ. Bí o kò bá gbà á, a ó tún fi òmíràn ránṣẹ́.",,resources/views/auth/verify-email.blade.php:3
"Mes groupes","Àwọn ẹgbẹ́ mi",,resources/views/dashboard.blade.php:62
"Mesures de sécurité","Ìgbésẹ̀ ààbò",,resources/views/legal/security.blade.php:11
"Mettez à jour les informations de votre compte et votre adresse email.","Ṣàtúnṣe ìsọfúnni àkàǹtì rẹ àti àdírẹ́sì ímeèlì rẹ.",,resources/views/profile/partials/update-profile-information-form.blade.php:8
"Mettre à jour",Ṣàtúnṣe,,resources/views/membres/edit.blade.php:72
"Modification des CGU","Ìyípadà àwọn òfin",,resources/views/legal/terms.blade.php:46
Modifier,Ṣàtúnṣe,,resources/views/membres/index.blade.php:203
"Modifier le membre","Ṣàtúnṣe ọmọ ẹgbẹ́",,resources/views/membres/edit.blade.php:4
"Modifier le mot de passe","Yí ọ̀rọ̀ ìgbaniwọlé padà",,resources/views/profile/partials/update-password-form.blade.php:4
Moins,Kéré,,resources/views/analyses.blade.php:114
"Mot de passe","Ọ̀rọ̀ ìgbaniwọlé",,resources/views/profile/partials/delete-user-form.blade.php:31
"Mot de passe actuel","Ọ̀rọ̀ ìgbaniwọlé lọ́wọ́lọ́wọ́",,resources/views/profile/partials/update-password-form.blade.php:17
"Mot de passe oublié ?","Ṣé o gbàgbé ọ̀rọ̀ ìgbaniwọlé rẹ?",,resources/views/auth/login.blade.php:48
"Mot de passe oublié ? Indiquez votre adresse email : nous vous enverrons un lien pour en choisir un nouveau.","Ṣé o gbàgbé ọ̀rọ̀ ìgbaniwọlé rẹ? Sọ àdírẹ́sì ímeèlì rẹ fún wa: a ó fi ọ̀nà ránṣẹ́ sí ọ láti yan tuntun.",,resources/views/auth/forgot-password.blade.php:3
"Moy. par événement","Ìwọ̀n àpapọ̀ fún ìṣẹ̀lẹ̀",,resources/views/analyses.blade.php:66
"Moyen (≥50%)","Àárín (≥50%)",,resources/views/membres/index.blade.php:306
"Moyenne / jour","Ìwọ̀n àpapọ̀ / ọjọ́",,resources/views/analyses.blade.php:62
"Ne pas utiliser l'application à des fins illégales","Má ṣe lo ohun èlò yìí fún ohun tí kò bófinmu",,resources/views/legal/terms.blade.php:33
"Niveaux de régularité :","Ìpele ìdúróṣinṣin:",,resources/views/membres/index.blade.php:294
Nom,Orúkọ,,resources/views/profile/partials/update-profile-information-form.blade.php:21
"Nom complet","Orúkọ kíkún",,resources/views/auth/register.blade.php:12
"Nom du groupe","Orúkọ ẹgbẹ́",,resources/views/auth/register.blade.php:26
"Nom et prénom","Orúkọ àti orúkọ ìdílé",,resources/views/legal/privacy.blade.php:14
"Nom et prénoms","Orúkọ àti orúkọ ìdílé",,resources/views/membres/edit.blade.php:29
"Nom ou téléphone","Orúkọ tàbí fóònù",,resources/views/statistiques.blade.php:22
"Non accordé","Kò fọwọ́sí",,resources/views/membres/index.blade.php:162
"Notre mission","Ìpinnu wa",,resources/views/about.blade.php:8
"Nous collectons uniquement les données nécessaires au fonctionnement de l'application :","A kójọ data tí ohun èlò náà nílò nìkan:",,resources/views/legal/privacy.blade.php:12
"Nous contacter","Kàn sí wa",,resources/views/contact.blade.php:9
